stock_id,name,market
4433,興采,otc
4438,廣越,sii
4440,宜新實業,sii
4441,振大環球,sii
4502,健信,otc
4503,金雨,otc
4506,崇友,otc
4510,高鋒,otc
4513,福裕,otc
4523,永彰,otc
4526,東台,sii
4527,方土霖,otc
4528,江興鍛,otc
4529,淳紳,otc
4530,宏易,otc
4532,瑞智,sii
4533,協易機,otc
4534,慶騰,otc
4535,至興,otc
4536,拓凱,sii
4538,大詠城,otc
4540,全球傳動,sii
4541,晟田,otc
4542,科嶠,otc
4543,萬在,otc
4545,銘鈺,sii
4549,桓達,otc
4550,長佳,otc
4551,智伸科,sii
4554,橙的,otc
4555,氣立,sii
4556,旭然,otc
4558,寶緯,otc
4561,健椿,otc
4562,穎漢,sii
4563,百德,otc
4564,元翎,sii
4566,時碩工業,sii
4568,科際精密,otc
4572,駐龍,sii
4576,大銀微系統,sii
4577,達航科技,otc
4580,捷流閥業,otc
4582,聚恆-創,sii
4583,台灣精銳,sii
4584,君帆,otc
4585,達明,sii
4588,玖鼎電力,sii
4590,富田-創,sii
4609,唐鋒,otc
4702,中美實,otc
4706,大恭,otc
4707,磐亞,otc
4711,永純,otc
4714,永捷,otc
4716,大立,otc
4720,德淵,sii
4721,美琪瑪,otc
4722,國精化,sii
4726,永昕,otc
4728,雙美,otc
4729,熒茂,otc
4735,豪展,otc
4736,泰博,sii
4737,華廣,sii
4739,康普,sii
4741,泓瀚,otc
4743,合一,otc
4744,皇將,otc
4746,台耀,sii
4747,強生,otc
4749,新應材,otc
4754,國碳科,otc
4755,三福化,sii
4760,勤凱,otc
4764,雙鍵,sii
4766,南寶,sii
4767,誠泰科技,otc
4768,晶呈科技,otc
4770,上品,sii
4771,望隼,sii
4772,台特化,otc
4806,桂田文創,otc
4903,聯光通,otc
4904,遠傳,sii
4905,台聯電,otc
4906,正文,sii
4907,富宇,otc
4908,前鼎,otc
4909,新復興,otc
4911,德英,otc
4915,致伸,sii
4916,事欣科,sii
4919,新唐,sii
4923,力士,otc
4930,燦星網,sii
4931,新盛力,otc
4933,友輝,otc
4934,太極,sii
4938,和碩,sii
4939,亞電,otc
4942,嘉彰,sii
4946,辣椒,otc
4949,有成精密,sii
4950,金耘國際,otc
4951,精拓科,otc
4952,凌通,sii
4953,緯軟,otc
4956,光鋐,sii
4960,誠美材,sii
4961,天鈺,sii
4967,十銓,sii
4968,立積,sii
4972,湯石照明,otc
4973,廣穎,otc
4974,亞泰,otc
4976,佳凌,sii
4979,華星光,otc
4989,榮科,sii
4994,傳奇,sii
4995,晶達,otc
4999,鑫禾,sii
5007,三星,sii
5009,榮剛,otc
5011,久陽,otc
5013,強新,otc
5014,建錩,otc
5015,華祺,otc
5016,松和,otc
5201,凱衛,otc
5202,力新,otc
5203,訊連,sii
5205,中茂,otc
5206,坤悅,otc
5209,新鼎,otc
5210,寶碩,otc
5211,蒙恬,otc
5212,凌網,otc
5213,亞昕,otc
5220,萬達光電,otc
5222,全訊,sii
5228,鈺鎧,otc
5230,雷笛克光學,otc
5234,達興材料,sii
5236,凌陽創新,otc
5244,弘凱,sii
5245,智晶,otc
5251,天鉞電,otc
5258,虹堡,sii
5263,智崴,otc
5269,祥碩,sii
5272,笙科,otc
5274,信驊,otc
5278,尚凡*,otc
5283,禾聯碩,sii
5285,界霖,sii
5287,數字,otc
5289,宜鼎,otc
5291,邑昇,otc
5292,華懋,sii
5299,杰力,otc
5301,寶得利,otc
5302,太欣,otc
5306,桂盟,sii
5309,系統電,otc
5310,天剛,otc
5312,寶島科,otc
5314,世紀*,otc
5315,光聯,otc
5321,美而快,otc
5324,士開,otc
5328,華容,otc
5340,建榮,otc
5344,立衛,otc
5345,馥鴻,otc
5347,世界,otc
5348,正能量智能,otc
5351,鈺創,otc
5353,台林,otc
5355,佳總,otc
5356,協益,otc
5364,力麗店,otc
5371,中光電,otc
5381,光譜,otc
5386,青雲,otc
5388,中磊,sii
5392,能率,otc
5398,慕康生醫,otc
5403,中菲,otc
5410,國眾,otc
5425,台半,otc
5426,振發,otc
5432,新門,otc
5434,崇越,sii
5438,東友,otc
5439,高技,otc
5443,均豪,otc
5450,南良,otc
5452,佶優,otc
5455,昇益,otc
5457,宣德,otc
5460,同協,otc
5464,霖宏,otc
5465,富驊,otc
5468,凱鈺,otc
5469,瀚宇博,sii
5471,松翰,sii
5474,聰泰,otc
5475,德宏,otc
5478,智冠,otc
5481,新華,otc
5483,中美晶,otc
5484,慧友,sii
5487,通泰,otc
5488,松普,otc
5489,彩富,otc
5490,同亨,otc
